group_removed,metric,full_value,ablated_value,delta
temporal,auc_roc,0.9676406035665295,0.48869684499314126,0.4789437585733882
temporal,auc_pr,0.9481963851505094,0.10249978805842874,0.8456965970920807
temporal,f1,0.9534883720930233,0.01092896174863388,0.9425594103443894
temporal,precision,1.0,0.3333333333333333,0.6666666666666667
temporal,recall,0.9111111111111111,0.005555555555555556,0.9055555555555556
temporal,brier_score,0.008252833969891071,0.09776134043931961,-0.08950850646942854
temporal,ece,0.0041030856346090635,0.06454180932707257,-0.0604387236924635
temporal,log_loss,0.05103809225875836,0.35985877125711263,-0.30882067899835425
spatial,auc_roc,0.9676406035665295,0.9652674897119341,0.0023731138545953767
spatial,auc_pr,0.9481963851505094,0.9428371997166666,0.005359185433842839
spatial,f1,0.9534883720930233,0.9597701149425287,-0.006281742849505445
spatial,precision,1.0,0.9940476190476191,0.005952380952380931
spatial,recall,0.9111111111111111,0.9277777777777778,-0.01666666666666672
spatial,brier_score,0.008252833969891071,0.008365857414901257,-0.00011302344501018524
spatial,ece,0.0041030856346090635,0.004399898859361808,-0.00029681322475274413
spatial,log_loss,0.05103809225875836,0.05434913754215739,-0.003311045283399025
compound,auc_roc,0.9676406035665295,0.9678532235939644,-0.0002126200274349399
compound,auc_pr,0.9481963851505094,0.9475018011277734,0.0006945840227360334
compound,f1,0.9534883720930233,0.9595375722543352,-0.006049200161311941
compound,precision,1.0,1.0,0.0
compound,recall,0.9111111111111111,0.9222222222222223,-0.011111111111111183
compound,brier_score,0.008252833969891071,0.008313830010592937,-6.099604070186615e-05
compound,ece,0.0041030856346090635,0.004815516184187596,-0.0007124305495785329
compound,log_loss,0.05103809225875836,0.0508780614359952,0.00016003082276316166
socioeconomic,auc_roc,0.9676406035665295,0.9696622085048011,-0.0020216049382716372
socioeconomic,auc_pr,0.9481963851505094,0.9449179278198516,0.0032784573306577913
socioeconomic,f1,0.9534883720930233,0.9595375722543352,-0.006049200161311941
socioeconomic,precision,1.0,1.0,0.0
socioeconomic,recall,0.9111111111111111,0.9222222222222223,-0.011111111111111183
socioeconomic,brier_score,0.008252833969891071,0.008076276630163193,0.00017655733972787857
socioeconomic,ece,0.0041030856346090635,0.003024294158029887,0.0010787914765791762
socioeconomic,log_loss,0.05103809225875836,0.0491024626755531,0.001935629583205263
